Date,HomeTeam,AwayTeam,FTHG,FTAG,Season,SeasonStart,ScoreDetail,Match
2025-09-18,IF Malmö Redhawks,Leksands IF,5,4,2025-26,2025,"(1-3, 3-1, 0-0, 1-0)",IF Malmö Redhawks - Leksands IF
2025-09-18,Örebro HK,Frölunda HC,1,2,2025-26,2025,"(0-0, 1-1, 0-1)",Örebro HK - Frölunda HC
2025-09-18,Skellefteå AIK,Färjestad BK,2,5,2025-26,2025,"(0-1, 0-1, 2-3)",Skellefteå AIK - Färjestad BK
2025-09-18,Timrå IK,Växjö Lakers HC,2,1,2025-26,2025,"(1-1, 1-0, 0-0)",Timrå IK - Växjö Lakers HC
2025-09-20,Linköping HC,Skellefteå AIK,0,4,2025-26,2025,"(0-3, 0-1, 0-0)",Linköping HC - Skellefteå AIK
2025-09-20,Rögle BK,Leksands IF,4,0,2025-26,2025,"(2-0, 1-0, 1-0)",Rögle BK - Leksands IF
2025-09-20,Timrå IK,Färjestad BK,1,0,2025-26,2025,"(0-0, 0-0, 1-0)",Timrå IK - Färjestad BK
2025-09-20,Brynäs IF,Örebro HK,4,3,2025-26,2025,"(2-1, 1-1, 0-1, 0-0, 1-0)",Brynäs IF - Örebro HK
2025-09-20,Frölunda HC,Luleå HF,4,1,2025-26,2025,"(2-1, 1-0, 1-0)",Frölunda HC - Luleå HF
2025-09-20,IF Malmö Redhawks,HV 71,3,2,2025-26,2025,"(0-0, 1-2, 2-0)",IF Malmö Redhawks - HV 71
2025-09-20,Växjö Lakers HC,Djurgårdens IF,4,0,2025-26,2025,"(2-0, 2-0, 0-0)",Växjö Lakers HC - Djurgårdens IF
2025-09-23,Djurgårdens IF,Frölunda HC,2,11,2025-26,2025,"(0-2, 2-3, 0-6)",Djurgårdens IF - Frölunda HC
2025-09-25,Färjestad BK,Frölunda HC,4,3,2025-26,2025,"(1-0, 3-1, 0-2)",Färjestad BK - Frölunda HC
2025-09-25,HV 71,Timrå IK,3,4,2025-26,2025,"(2-1, 0-3, 1-0)",HV 71 - Timrå IK
2025-09-25,Leksands IF,Skellefteå AIK,8,5,2025-26,2025,"(5-1, 1-3, 2-1)",Leksands IF - Skellefteå AIK
2025-09-25,Luleå HF,Djurgårdens IF,2,4,2025-26,2025,"(1-1, 0-0, 1-3)",Luleå HF - Djurgårdens IF
2025-09-25,IF Malmö Redhawks,Brynäs IF,5,2,2025-26,2025,"(0-2, 4-0, 1-0)",IF Malmö Redhawks - Brynäs IF
2025-09-25,Rögle BK,Linköping HC,0,2,2025-26,2025,"(0-0, 0-1, 0-1)",Rögle BK - Linköping HC
2025-09-25,Växjö Lakers HC,Örebro HK,4,1,2025-26,2025,"(3-1, 1-0, 0-0)",Växjö Lakers HC - Örebro HK
2025-09-27,Färjestad BK,Växjö Lakers HC,2,4,2025-26,2025,"(1-1, 1-2, 0-1)",Färjestad BK - Växjö Lakers HC
2025-09-27,HV 71,Frölunda HC,1,2,2025-26,2025,"(0-1, 1-1, 0-0)",HV 71 - Frölunda HC
2025-09-27,Leksands IF,Luleå HF,1,4,2025-26,2025,"(1-1, 0-1, 0-2)",Leksands IF - Luleå HF
2025-09-27,Örebro HK,Skellefteå AIK,0,3,2025-26,2025,"(0-0, 0-2, 0-1)",Örebro HK - Skellefteå AIK
2025-09-27,Linköping HC,IF Malmö Redhawks,2,5,2025-26,2025,"(1-2, 1-2, 0-1)",Linköping HC - IF Malmö Redhawks
2025-09-27,Djurgårdens IF,Timrå IK,4,2,2025-26,2025,"(1-1, 1-0, 2-1)",Djurgårdens IF - Timrå IK
2025-09-27,Rögle BK,Brynäs IF,4,3,2025-26,2025,"(1-1, 1-0, 2-2)",Rögle BK - Brynäs IF
2025-09-30,Frölunda HC,Brynäs IF,3,1,2025-26,2025,"(1-0, 2-0, 0-1)",Frölunda HC - Brynäs IF
2025-09-30,HV 71,Leksands IF,2,1,2025-26,2025,"(0-0, 1-1, 1-0)",HV 71 - Leksands IF
2025-09-30,Linköping HC,Färjestad BK,0,2,2025-26,2025,"(0-0, 0-1, 0-1)",Linköping HC - Färjestad BK
2025-09-30,Örebro HK,Djurgårdens IF,4,3,2025-26,2025,"(0-1, 2-0, 2-2)",Örebro HK - Djurgårdens IF
2025-09-30,Skellefteå AIK,Luleå HF,4,3,2025-26,2025,"(2-0, 1-2, 1-1)",Skellefteå AIK - Luleå HF
2025-09-30,Timrå IK,Rögle BK,1,2,2025-26,2025,"(0-1, 1-0, 0-0, 0-1)",Timrå IK - Rögle BK
